,Team_home,Team_away,Game_id,Round,Minutes_home,Points_home,FieldGoalsMade2_home,FieldGoalsAttempted2_home,FieldGoalsMade3_home,FieldGoalsAttempted3_home,FreeThrowsMade_home,FreeThrowsAttempted_home,OffensiveRebounds_home,DefensiveRebounds_home,TotalRebounds_home,Assistances_home,Steals_home,Turnovers_home,BlocksFavour_home,BlocksAgainst_home,FoulsCommited_home,FoulsReceived_home,Valuation_home,Minutes_away,Points_away,FieldGoalsMade2_away,FieldGoalsAttempted2_away,FieldGoalsMade3_away,FieldGoalsAttempted3_away,FreeThrowsMade_away,FreeThrowsAttempted_away,OffensiveRebounds_away,DefensiveRebounds_away,TotalRebounds_away,Assistances_away,Steals_away,Turnovers_away,BlocksFavour_away,BlocksAgainst_away,FoulsCommited_away,FoulsReceived_away,Valuation_away
0,FRUTTI EXTRA BURSASPOR,RATIOPHARM ULM,34,4,200:00,86,19,37,8,23,24,32,9,26,35,23,4,13,5,3,25,28,99,200:00,90,21,37,12,28,12,21,9,25,34,22,6,11,3,5,28,25,95
0,JOVENTUT BADALONA,PROMETEY SLOBOZHANSKE,35,4,200:00,82,23,40,5,18,21,26,13,33,46,20,7,22,4,4,21,24,101,200:00,77,17,29,10,41,13,16,11,19,30,16,14,11,4,4,24,21,77
0,SLASK WROCLAW,TURK TELEKOM ANKARA,36,4,200:00,71,22,43,7,18,6,17,11,22,33,13,6,14,4,4,19,21,68,200:00,75,21,34,8,30,9,13,15,28,43,15,7,19,4,4,21,19,80
0,PROMITHEAS PATRAS,VEOLIA TOWERS HAMBURG,37,4,200:00,81,20,43,6,24,23,29,13,19,32,15,10,11,4,1,20,27,90,200:00,77,22,41,7,25,12,18,19,30,49,14,6,22,1,4,27,19,70
0,LONDON LIONS,BUDUCNOST VOLI PODGORICA,38,4,200:00,78,26,50,2,15,20,25,14,22,36,15,5,14,4,2,19,23,84,200:00,87,24,42,9,21,12,15,10,25,35,19,6,13,2,4,23,19,95
0,PARIS BASKETBALL,GRAN CANARIA,39,4,200:00,81,22,37,9,25,10,10,4,26,30,15,10,13,2,2,15,16,93,200:00,89,21,44,13,32,8,11,14,27,41,22,5,11,2,2,16,15,100
0,HAPOEL TEL AVIV,DOLOMITI ENERGIA TRENTO,40,4,200:00,93,31,49,2,14,25,30,9,28,37,18,10,7,4,3,14,24,127,200:00,63,17,46,7,22,8,10,15,23,38,12,2,14,3,4,24,14,44
0,CEDEVITA OLIMPIJA LJUBLJANA,PROMETEY SLOBOZHANSKE,41,5,200:00,89,12,27,15,38,20,25,10,28,38,23,9,14,1,4,21,24,102,200:00,94,25,41,9,30,17,22,12,31,43,13,6,12,4,1,24,20,101
0,RATIOPHARM ULM,JOVENTUT BADALONA,42,5,200:00,54,17,38,5,28,5,9,14,23,37,13,4,16,2,6,19,22,43,200:00,68,19,39,7,25,9,12,14,30,44,17,7,16,6,2,22,19,80
0,MINCIDELICE JL BOURG EN BRESSE,FRUTTI EXTRA BURSASPOR,43,5,200:00,80,18,38,10,24,14,18,8,19,27,18,9,8,6,3,21,20,90,200:00,89,24,40,10,25,11,15,13,28,41,19,2,12,3,6,21,19,99
0,U-BT CLUJ-NAPOCA,GERMANI BRESCIA,44,5,200:00,91,21,27,10,29,19,24,9,22,31,23,3,14,1,2,22,23,104,200:00,86,17,28,15,30,7,15,6,19,25,18,8,13,2,1,23,22,90
0,UMANA REYER VENICE,7BET-LIETKABELIS PANEVEZYS,45,5,200:00,74,14,38,9,25,19,25,15,31,46,14,5,17,1,2,25,27,77,200:00,71,16,34,7,20,18,25,3,28,31,15,9,15,2,1,27,25,72
0,TURK TELEKOM ANKARA,DOLOMITI ENERGIA TRENTO,46,5,200:00,81,19,32,13,25,4,7,6,33,39,16,10,17,2,1,15,14,101,200:00,66,13,28,12,37,4,6,9,20,29,17,12,16,1,2,14,15,66
0,GRAN CANARIA,HAPOEL TEL AVIV,47,5,200:00,85,14,25,16,38,9,17,9,22,31,22,9,11,2,1,23,17,90,200:00,83,18,35,9,19,20,24,6,28,34,11,8,16,1,2,18,21,91
0,BUDUCNOST VOLI PODGORICA,PARIS BASKETBALL,48,5,200:00,74,23,50,4,26,16,21,15,36,51,12,11,15,2,4,28,18,67,200:00,77,19,36,7,24,18,37,8,34,42,13,9,16,4,2,18,28,84
0,VEOLIA TOWERS HAMBURG,LONDON LIONS,49,5,200:00,75,17,33,9,27,14,21,13,17,30,24,2,20,1,3,19,22,71,200:00,103,23,35,14,25,15,17,7,24,31,27,11,14,3,1,22,19,132
0,SLASK WROCLAW,PROMITHEAS PATRAS,50,5,200:00,76,24,52,4,14,16,22,13,30,43,23,11,15,6,1,20,20,99,200:00,78,18,39,10,29,12,17,12,27,39,15,7,14,1,6,20,20,75
0,7BET-LIETKABELIS PANEVEZYS,CEDEVITA OLIMPIJA LJUBLJANA,51,6,200:00,104,23,36,12,25,22,30,14,17,31,24,8,14,0,4,22,25,118,200:00,98,25,34,11,25,15,19,7,16,23,25,5,12,4,0,25,22,113
0,GERMANI BRESCIA,UMANA REYER VENICE,52,6,200:00,60,18,36,6,27,6,12,13,23,36,16,8,16,3,1,18,20,63,200:00,80,20,29,10,29,10,14,7,26,33,21,11,14,1,3,20,18,95
0,FRUTTI EXTRA BURSASPOR,U-BT CLUJ-NAPOCA,53,6,200:00,95,26,45,10,26,13,16,15,21,36,20,13,13,0,1,22,22,112,200:00,80,23,33,6,24,16,22,7,20,27,22,7,18,1,0,22,22,85
0,JOVENTUT BADALONA,MINCIDELICE JL BOURG EN BRESSE,54,6,200:00,80,23,34,8,24,10,12,6,23,29,22,5,14,2,3,21,20,91,200:00,85,20,34,11,29,12,16,9,21,30,18,8,11,3,2,20,21,96
0,PROMETEY SLOBOZHANSKE,RATIOPHARM ULM,55,6,200:00,105,23,41,14,33,17,26,15,19,34,21,10,10,2,0,27,23,112,200:00,106,19,30,15,27,23,27,5,24,29,24,8,16,0,2,23,27,126
0,PROMITHEAS PATRAS,TURK TELEKOM ANKARA,56,6,200:00,83,12,28,11,26,26,30,5,21,26,16,5,14,4,1,19,22,87,200:00,98,31,51,8,18,12,17,11,26,37,18,10,11,1,4,23,19,110
0,LONDON LIONS,SLASK WROCLAW,57,6,200:00,97,28,46,9,24,14,17,8,27,35,22,7,14,2,1,20,17,109,200:00,80,23,37,6,24,16,23,7,23,30,21,8,17,2,2,17,19,85
0,PARIS BASKETBALL,VEOLIA TOWERS HAMBURG,58,6,200:00,87,21,37,11,31,12,17,12,30,42,19,7,18,8,2,17,23,108,200:00,84,29,52,6,26,8,11,14,26,40,16,8,13,2,8,23,17,77
0,HAPOEL TEL AVIV,BUDUCNOST VOLI PODGORICA,59,6,200:00,64,22,50,3,18,11,14,15,23,38,16,7,10,4,3,17,21,74,200:00,70,16,37,8,22,14,15,12,28,40,16,5,15,3,4,21,17,75
